check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,4,29.225416666666664,85.0,79,78,76,71,74,73,90
2024-04-18,Apartamentos,4,62.66166666666667,97.0,94,93,92,90,90,88,86
2024-04-23,Apartamentos,4,28.52208333333333,87.0,79,81,79,74,73,72,75
2024-04-25,Apartamentos,4,49.35916666666666,98.0,92,94,93,91,88,90,85
2024-04-30,Apartamentos,4,48.70624999999999,95.0,90,91,90,90,89,89,87
2024-05-02,Apartamentos,4,76.63619047619048,98.23723228995058,98,97,95,95,94,96,93
2024-05-07,Apartamentos,4,27.233809523809523,83.0,80,79,77,71,75,74,93
2024-05-09,Apartamentos,4,44.20939560439561,95.0,89,86,85,83,85,84,80
2024-05-14,Apartamentos,4,27.090952380952377,84.0,75,73,74,75,72,78,78
2024-05-16,Apartamentos,4,44.249047619047616,97.0,90,89,87,85,84,83,81
2024-05-21,Apartamentos,4,26.44285714285714,86.0,76,71,75,71,70,71,68
2024-05-23,Apartamentos,4,38.29619047619048,94.0,87,87,85,81,80,77,77
2024-05-28,Apartamentos,4,28.11285714285714,83.0,75,74,77,76,71,68,67
2024-05-30,Apartamentos,4,41.974583333333335,95.0,88,88,85,84,85,81,79
2024-06-04,Apartamentos,4,28.066666666666666,74.0,72,71,72,71,67,66,67
2024-06-06,Apartamentos,4,38.916250000000005,94.0,85,84,80,81,80,78,78
2024-06-11,Apartamentos,4,25.69666666666667,77.0,71,69,69,69,69,70,63
2024-06-13,Apartamentos,4,38.13125,92.0,82,82,81,77,75,73,72
