check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Hotel,2,49.60451923076923,95.0,95,94,95,94,94,94,94
2024-04-18,Hotel,2,89.88185897435898,96.0,96,96,96,96,96,96,96
2024-04-23,Hotel,2,61.84532051282051,96.0,95,95,95,95,95,95,95
2024-04-25,Hotel,2,79.55070512820514,97.0,96,96,96,96,96,95,95
2024-04-30,Hotel,2,71.31038461538462,96.0,95,95,95,95,96,95,95
2024-05-02,Hotel,2,108.79490842490844,96.79571663920922,96,96,99,96,96,96,96
2024-05-07,Hotel,2,51.986483516483524,95.0,95,95,95,95,95,95,95
2024-05-09,Hotel,2,78.04589743589743,97.0,96,96,99,96,95,95,95
2024-05-14,Hotel,2,55.60725274725275,95.0,95,95,95,94,95,94,94
2024-05-16,Hotel,2,78.47637362637364,97.0,96,96,96,96,96,95,77
2024-05-21,Hotel,2,52.29389770723105,96.0,95,94,94,94,94,94,94
2024-05-23,Hotel,2,69.11655677655678,96.0,95,95,95,95,95,95,95
2024-05-28,Hotel,2,61.497619047619054,95.0,95,95,95,95,94,95,94
2024-05-30,Hotel,2,70.90282051282051,96.0,95,95,95,96,78,95,95
2024-06-04,Hotel,2,54.50999999999999,95.0,95,95,94,95,95,95,94
2024-06-06,Hotel,2,73.32365384615385,96.0,96,96,71,95,96,96,96
2024-06-11,Hotel,2,53.04634615384615,94.0,94,94,94,94,94,94,94
2024-06-13,Hotel,2,67.5336858974359,95.0,95,95,95,95,95,95,95
