check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Hotel,5,48.554435897435894,96.0,96,96.0,96.0,96,95,95,95
2024-04-18,Hotel,5,106.58299999999998,97.0,97,97.0,96.0,97,97,97,97
2024-04-23,Hotel,5,58.959,89.0,97,97.0,96.0,96,96,96,96
2024-04-25,Hotel,5,98.21998717948718,98.0,97,97.0,96.0,97,96,96,96
2024-04-30,Hotel,5,79.96366666666667,97.0,96,96.0,96.0,96,96,96,96
2024-05-02,Hotel,5,121.49409523809526,98.13014827018122,99,97.0,97.0,97,97,97,97
2024-05-07,Hotel,5,52.48266666666666,97.0,96,96.0,96.0,96,96,96,96
2024-05-09,Hotel,5,76.02971428571429,98.0,97,97.38338658146967,97.0,97,96,96,96
2024-05-14,Hotel,5,52.33561904761905,96.0,96,95.0,95.35810810810811,95,96,95,95
2024-05-16,Hotel,5,80.33866666666667,98.0,97,97.0,97.0,97,97,96,96
2024-05-21,Hotel,5,49.132571428571424,97.0,96,95.0,95.0,95,95,95,95
2024-05-23,Hotel,5,67.2582857142857,97.0,96,96.0,96.0,96,96,96,96
2024-05-28,Hotel,5,54.76773626373625,97.0,96,96.0,96.0,96,96,96,95
2024-05-30,Hotel,5,71.0895641025641,97.0,96,96.0,96.0,96,96,96,96
2024-06-04,Hotel,5,47.81233333333333,96.0,96,96.0,95.0,95,95,95,95
2024-06-06,Hotel,5,76.78356410256411,98.0,97,97.0,97.0,97,96,97,96
2024-06-11,Hotel,5,46.552128205128206,96.0,95,95.0,95.0,95,95,95,95
2024-06-13,Hotel,5,68.54912820512821,96.0,96,96.0,96.0,96,96,96,96
