check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,2,135.5575,79.0,74.0,74.0,72.0,75.0,80,84,92.0
2024-04-18,Apartamentos,2,296.04249999999996,97.0,93.0,91.0,91.0,88.0,87,82,80.0
2024-04-23,Apartamentos,2,132.98499999999999,82.0,78.0,72.0,71.0,70.0,81,84,87.0
2024-04-25,Apartamentos,2,246.96999999999997,98.0,91.0,92.0,92.0,86.0,89,83,86.0
2024-04-30,Apartamentos,2,244.91,92.0,88.0,90.0,89.0,88.0,87,87,85.0
2024-05-02,Apartamentos,2,349.2085714285714,95.55848434925865,97.0,96.0,90.0,94.0,95,94,94.0
2024-05-07,Apartamentos,2,144.9085714285714,79.0,71.62526766595289,75.0,77.0,79.0,77,91,90.0
2024-05-09,Apartamentos,2,222.48857142857142,94.0,86.0,81.98402555910542,82.0,81.0,79,81,80.0
2024-05-14,Apartamentos,2,143.07999999999998,81.0,77.0,72.0,82.25,81.0,79,78,75.0
2024-05-16,Apartamentos,2,224.1142857142857,96.0,89.0,86.0,84.0,87.7948717948718,81,79,72.0
2024-05-21,Apartamentos,2,139.87714285714287,84.0,71.0,71.0,70.0,70.0,70,70,65.0
2024-05-23,Apartamentos,2,206.1,93.0,87.0,84.0,82.0,77.0,80,77,73.0
2024-05-28,Apartamentos,2,147.59186813186813,80.0,75.0,74.0,72.0,71.0,76,73,74.05591054313099
2024-05-30,Apartamentos,2,210.50923076923078,93.0,85.0,85.0,85.0,81.0,73,77,75.0
2024-06-04,Apartamentos,2,144.1025,73.0,69.0,69.0,68.0,67.0,63,62,65.0
2024-06-06,Apartamentos,2,200.39749999999998,93.0,83.0,81.0,77.0,78.0,77,75,74.0
2024-04-16,Apartamentos,4,87.67625,85.0,79.0,78.0,76.0,71.0,74,73,90.0
2024-04-18,Apartamentos,4,187.985,97.0,94.0,93.0,92.0,90.0,90,88,86.0
2024-04-23,Apartamentos,4,85.56625,87.0,79.0,81.0,79.0,74.0,73,72,75.0
2024-04-25,Apartamentos,4,148.0775,98.0,92.0,94.0,93.0,91.0,88,90,85.0
2024-04-30,Apartamentos,4,146.11874999999998,95.0,90.0,91.0,90.0,90.0,89,89,87.0
2024-05-02,Apartamentos,4,229.90857142857143,98.23723228995058,98.0,97.0,95.0,95.0,94,96,93.0
2024-05-07,Apartamentos,4,81.70142857142856,83.0,80.0,79.0,77.0,71.0,75,74,93.0
2024-05-09,Apartamentos,4,132.62818681318683,95.0,89.0,86.0,85.0,83.0,85,84,80.0
2024-05-14,Apartamentos,4,81.27285714285713,84.0,75.0,73.0,74.0,75.0,72,78,78.0
2024-05-16,Apartamentos,4,132.74714285714285,97.0,90.0,89.0,87.0,85.0,84,83,81.0
2024-05-21,Apartamentos,4,79.32857142857142,86.0,76.0,71.0,75.0,71.0,70,71,68.0
2024-05-23,Apartamentos,4,114.88857142857145,94.0,87.0,87.0,85.0,81.0,80,77,77.0
2024-05-28,Apartamentos,4,84.33857142857143,83.0,75.0,74.0,77.0,76.0,71,68,67.0
2024-05-30,Apartamentos,4,125.92375000000001,95.0,88.0,88.0,85.0,84.0,85,81,79.0
2024-06-04,Apartamentos,4,84.2,74.0,72.0,71.0,72.0,71.0,67,66,67.0
2024-06-06,Apartamentos,4,116.74875000000002,94.0,85.0,84.0,80.0,81.0,80,78,78.0
2024-04-16,Apartamentos,5,87.63700000000001,90.0,86.0,85.0,80.0,80.0,83,82,82.0
2024-04-18,Apartamentos,5,184.502,98.0,96.0,95.0,95.0,94.0,93,92,91.0
2024-04-23,Apartamentos,5,76.874,86.0,85.0,88.0,86.0,82.0,85,80,83.0
2024-04-25,Apartamentos,5,148.277,99.0,96.0,96.0,96.0,94.0,94,93,89.0
2024-04-30,Apartamentos,5,128.292,95.0,95.0,94.0,93.0,93.0,92,92,91.0
2024-05-02,Apartamentos,5,208.6457142857143,95.78418451400329,94.0,98.0,97.0,97.0,97,97,97.0
2024-05-07,Apartamentos,5,76.14628571428571,90.0,86.83654532476803,86.0,84.0,84.0,84,83,82.0
2024-05-09,Apartamentos,5,122.10628571428569,97.0,92.0,91.0,92.0,91.0,90,90,89.0
2024-05-14,Apartamentos,5,76.28505494505495,89.0,82.0,80.0,81.0,83.0,82,82,81.0
2024-05-16,Apartamentos,5,122.13942857142858,98.0,95.0,92.0,90.0,91.0,89,91,90.0
2024-05-21,Apartamentos,5,69.06057142857142,91.0,84.0,83.0,78.0,77.0,78,80,79.0
2024-05-23,Apartamentos,5,110.65714285714287,96.0,93.0,91.0,90.0,89.0,89,87,87.0
2024-05-28,Apartamentos,5,73.7116923076923,89.0,86.0,86.0,85.0,84.0,80,79,77.0
2024-05-30,Apartamentos,5,121.09092307692308,96.0,93.0,92.0,92.0,91.0,90,87,86.0
2024-06-04,Apartamentos,5,78.295,85.0,78.0,81.0,80.0,79.0,79,74,78.0
2024-06-06,Apartamentos,5,119.36100000000002,95.0,90.0,87.0,89.0,88.0,87,86,85.0
2024-04-16,Apartamentos,7,84.25821428571427,95.0,93.0,93.0,92.0,89.0,91,91,91.0
2024-04-18,Apartamentos,7,184.70749999999998,99.0,98.0,97.0,97.0,96.0,96,96,95.0
2024-04-23,Apartamentos,7,80.29642857142856,96.0,95.0,94.0,93.0,93.0,93,92,91.0
2024-04-25,Apartamentos,7,141.59142857142857,99.0,98.0,98.0,97.0,97.0,95,96,96.0
2024-04-30,Apartamentos,7,137.06750000000002,98.0,98.0,97.0,97.0,96.0,96,96,95.0
2024-05-02,Apartamentos,7,192.669387755102,99.22405271828666,99.0,99.0,98.0,99.0,98,98,98.0
2024-05-07,Apartamentos,7,80.35224489795918,95.0,93.49393290506781,93.0,92.0,92.0,92,91,91.0
2024-05-09,Apartamentos,7,123.8461224489796,99.0,96.0,96.0,96.0,95.0,95,94,94.0
2024-05-14,Apartamentos,7,76.81800627943485,95.0,90.0,90.0,90.0,91.0,91,91,91.0
2024-05-16,Apartamentos,7,129.62367346938777,99.0,98.0,95.0,96.0,95.0,94,96,96.0
2024-05-21,Apartamentos,7,70.50857142857143,95.0,92.0,92.0,89.0,89.0,90,90,90.0
2024-05-23,Apartamentos,7,113.34285714285714,97.0,96.0,95.0,95.0,93.0,93,93,93.0
2024-05-28,Apartamentos,7,82.20053375196233,94.0,93.0,93.0,93.0,92.0,89,89,88.0
2024-05-30,Apartamentos,7,132.18697478991595,98.0,96.0,96.0,96.0,95.0,95,93,92.0
2024-06-04,Apartamentos,7,72.08000000000001,93.0,91.0,90.0,90.0,90.0,89,89,89.0
2024-06-06,Apartamentos,7,105.03,98.0,95.0,94.0,93.0,93.0,93,92,92.0
2024-04-16,Hotel,2,148.81355769230768,95.0,95.0,94.0,95.0,94.0,94,94,94.0
