check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-06-06,Apartamentos,4,116.74875000000002,94.0,85.0,84,80,81,80,78,78
2024-04-16,Apartamentos,5,87.63700000000001,90.0,86.0,85,80,80,83,82,82
2024-04-18,Apartamentos,5,184.502,98.0,96.0,95,95,94,93,92,91
2024-04-23,Apartamentos,5,76.874,86.0,85.0,88,86,82,85,80,83
2024-04-25,Apartamentos,5,148.277,99.0,96.0,96,96,94,94,93,89
2024-04-30,Apartamentos,5,128.292,95.0,95.0,94,93,93,92,92,91
2024-05-02,Apartamentos,5,208.6457142857143,95.78418451400329,94.0,98,97,97,97,97,97
2024-05-07,Apartamentos,5,76.14628571428571,90.0,86.83654532476803,86,84,84,84,83,82
2024-05-09,Apartamentos,5,122.10628571428569,97.0,92.0,91,92,91,90,90,89
2024-05-14,Apartamentos,5,76.28505494505495,89.0,82.0,80,81,83,82,82,81
2024-05-16,Apartamentos,5,122.13942857142858,98.0,95.0,92,90,91,89,91,90
2024-05-21,Apartamentos,5,69.06057142857142,91.0,84.0,83,78,77,78,80,79
2024-05-23,Apartamentos,5,110.65714285714287,96.0,93.0,91,90,89,89,87,87
2024-05-28,Apartamentos,5,73.7116923076923,89.0,86.0,86,85,84,80,79,77
2024-05-30,Apartamentos,5,121.09092307692308,96.0,93.0,92,92,91,90,87,86
2024-06-04,Apartamentos,5,78.295,85.0,78.0,81,80,79,79,74,78
2024-06-06,Apartamentos,5,119.36100000000002,95.0,90.0,87,89,88,87,86,85
