check-in,tipo,pax,precio,1,6,8,13,15,20,22,27,DBSCAN_Cluster,KMeans_Cluster
2024-04-16,0,2.0,135.5575,79.0,74.0,74.0,72.0,75.0,80.0,84.0,92.0,-1,0
2024-04-18,0,2.0,296.04249999999996,97.0,93.0,91.0,91.0,88.0,87.0,82.0,80.0,-1,1
2024-04-23,0,2.0,132.98499999999999,82.0,78.0,72.0,71.0,70.0,81.0,84.0,87.0,-1,0
2024-04-25,0,2.0,246.96999999999997,98.0,91.0,92.0,92.0,86.0,89.0,83.0,86.0,-1,1
2024-04-30,0,2.0,244.91,92.0,88.0,90.0,89.0,88.0,87.0,87.0,85.0,-1,1
2024-05-02,0,2.0,349.2085714285714,95.55848434925865,97.0,96.0,90.0,94.0,95.0,94.0,94.0,-1,1
2024-05-07,0,2.0,144.9085714285714,79.0,71.62526766595289,75.0,77.0,79.0,77.0,91.0,90.0,-1,0
2024-05-09,0,2.0,222.48857142857142,94.0,86.0,81.98402555910542,82.0,81.0,79.0,81.0,80.0,-1,0
2024-05-14,0,2.0,143.07999999999998,81.0,77.0,72.0,82.25,81.0,79.0,78.0,75.0,-1,0
2024-05-16,0,2.0,224.1142857142857,96.0,89.0,86.0,84.0,87.7948717948718,81.0,79.0,72.0,-1,0
2024-05-21,0,2.0,139.87714285714287,84.0,71.0,71.0,70.0,70.0,70.0,70.0,65.0,-1,0
2024-05-23,0,2.0,206.1,93.0,87.0,84.0,82.0,77.0,80.0,77.0,73.0,-1,0
2024-05-28,0,2.0,147.59186813186813,80.0,75.0,74.0,72.0,71.0,76.0,73.0,74.05591054313099,-1,0
2024-05-30,0,2.0,210.50923076923078,93.0,85.0,85.0,85.0,81.0,73.0,77.0,75.0,-1,0
2024-06-04,0,2.0,144.1025,73.0,69.0,69.0,68.0,67.0,63.0,62.0,65.0,-1,0
2024-06-06,0,2.0,200.39749999999998,93.0,83.0,81.0,77.0,78.0,77.0,75.0,74.0,-1,0
2024-04-16,0,4.0,87.67625,85.0,79.0,78.0,76.0,71.0,74.0,73.0,90.0,-1,0
2024-04-18,0,4.0,187.985,97.0,94.0,93.0,92.0,90.0,90.0,88.0,86.0,-1,1
2024-04-23,0,4.0,85.56625,87.0,79.0,81.0,79.0,74.0,73.0,72.0,75.0,-1,0
