total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
86%,,,,,,,,,
,2024-02-10,2024-02-14,2,0,Hotel Cedran,US$265,7.8,Good,"2,041"
,2024-02-10,2024-02-14,2,0,Hostal Sonia Granada,US$276,7.9,Good,"2,349"
,2024-02-10,2024-02-14,2,0,ISA Granada,US$373,8.6,Excellent,"2,512"
,2024-02-10,2024-02-14,2,0,Apartamentos Los Lobos,US$304,8.1,Very Good,492
,2024-02-10,2024-02-14,2,0,Suites 18,US$445,9.3,Wonderful,23
,2024-02-10,2024-02-14,2,0,Exe Triunfo Granada,US$382,8.0,Very Good,"2,631"
,2024-02-10,2024-02-14,2,0,Porcel Navas,US$401,8.7,Excellent,"2,072"
,2024-02-10,2024-02-14,2,0,Room Mate Leo,US$402,8.8,Excellent,"4,120"
,2024-02-10,2024-02-14,2,0,"Palacete 1620, Premium Suites, Only adults",US$616,9.3,Wonderful,750
,2024-02-10,2024-02-14,2,0,Hotel Macià Monasterio de los Basilios,US$342,8.1,Very Good,"2,597"
,2024-02-10,2024-02-14,2,0,Gran Hotel Luna de Granada,US$439,8.5,Very Good,"9,240"
,2024-02-10,2024-02-14,2,0,Hotel Saray,US$350,8.4,Very Good,"9,400"
,2024-02-10,2024-02-14,2,0,"Apartamentos en pleno centro, Aljibe Rodrigo del Campo 2C",US$538,9.7,Exceptional,120
,2024-02-10,2024-02-14,2,0,Pensión Recogidas,US$220,8.5,Very Good,698
,2024-02-10,2024-02-14,2,0,Vincci Albayzin,US$479,8.5,Very Good,"5,147"
,2024-02-10,2024-02-14,2,0,Occidental Granada,US$383,8.7,Excellent,"3,040"
,2024-02-10,2024-02-14,2,0,GLORIA SUITES,US$416,7.9,Good,445
,2024-02-10,2024-02-14,2,0,Catalonia Granada,US$442,8.9,Excellent,"3,917"
,2024-02-10,2024-02-14,2,0,Tina Home,US$452,8.9,Excellent,481
,2024-02-10,2024-02-14,2,0,Hotel Santa Isabel La Real,US$672,9.1,Wonderful,771
,2024-02-10,2024-02-14,2,0,Toc Hostel Granada,US$430,9.1,Wonderful,"3,581"
,2024-02-10,2024-02-14,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$463,8.6,Excellent,"4,553"
,2024-02-10,2024-02-14,2,0,Hotel Andalucía Center,US$345,8.8,Excellent,"7,044"
,2024-02-10,2024-02-14,2,0,Barceló Granada Congress,US$447,8.5,Very Good,"4,947"
,2024-02-10,2024-02-14,2,0,Crisol Guadalupe,US$361,8.5,Very Good,"4,501"
,2024-02-10,2024-02-14,2,0,Senator Granada Spa Hotel,US$338,8.4,Very Good,"3,167"
90%,,,,,,,,,
,2024-02-10,2024-02-14,2,2,Tina Home,US$493,8.9,Excellent,481
,2024-02-10,2024-02-14,2,2,Gran Hotel Luna de Granada,US$661,8.5,Very Good,"9,240"
,2024-02-10,2024-02-14,2,2,Elvira Suites,US$537,8.9,Excellent,760
,2024-02-10,2024-02-14,2,2,ISA Granada,US$607,8.6,Excellent,"2,512"
,2024-02-10,2024-02-14,2,2,GLORIA SUITES,US$418,7.9,Good,445
,2024-02-10,2024-02-14,2,2,Hostal Sonia Granada,US$457,7.9,Good,"2,349"
,2024-02-10,2024-02-14,2,2,CALM SUITES Molino Corteza del Carmen,US$625,9.3,Wonderful,854
,2024-02-10,2024-02-14,2,2,Morente sueña La Alhambra,US$541,9.1,Wonderful,254
,2024-02-10,2024-02-14,2,2,Be Free Granada,US$402,8.2,Very Good,"3,161"
,2024-02-10,2024-02-14,2,2,Hotel Saray,US$697,8.4,Very Good,"9,400"
,2024-02-10,2024-02-14,2,2,Apartamentos Turísticos Centro,US$544,8.7,Excellent,299
,2024-02-10,2024-02-14,2,2,La Corrala del Realejo,"US$1,268",9.4,Wonderful,531
,2024-02-10,2024-02-14,2,2,Porcel Sabica,"US$1,034",8.3,Very Good,"4,337"
,2024-02-10,2024-02-14,2,2,Esencias de la Alhambra,US$407,9.1,Wonderful,14
,2024-02-10,2024-02-14,2,2,Hotel Comfort Dauro 2,US$600,8.6,Excellent,"3,487"
,2024-02-10,2024-02-14,2,2,Suites Gran Vía 44,US$551,9.0,Wonderful,"1,055"
,2024-02-10,2024-02-14,2,2,Palacio Cabrera - Lillo,US$633,9.1,Wonderful,"2,311"
,2024-02-10,2024-02-14,2,2,Palacio Almagra,US$502,8.8,Excellent,571
,2024-02-10,2024-02-14,2,2,La Perla Granada Suites,US$460,8.1,Very Good,"3,126"
,2024-02-10,2024-02-14,2,2,Atenas Granada,US$463,7.7,Good,"3,929"
,2024-02-10,2024-02-14,2,2,Casa Montalbán Apartamentos Turísticos,US$466,8.3,Very Good,468
