total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
97%,,,,,,,,,
,2024-02-24,2024-02-27,2,0,Porcel Navas,US$298,8.7,Excellent,"2,108"
,2024-02-24,2024-02-27,2,0,Vincci Albayzin,US$359,8.5,Very Good,"5,244"
,2024-02-24,2024-02-27,2,0,Room Mate Leo,US$358,8.8,Excellent,"4,205"
,2024-02-24,2024-02-27,2,0,Catalonia Granada,US$314,8.9,Excellent,"3,969"
,2024-02-24,2024-02-27,2,0,Porcel Alixares,US$292,8.4,Very Good,"9,184"
,2024-02-24,2024-02-27,2,0,Gran Hotel Luna de Granada,US$400,8.5,Very Good,"9,332"
,2024-02-24,2024-02-27,2,0,Hotel Macià Real De La Alhambra,US$294,8.5,Very Good,"5,002"
,2024-02-24,2024-02-27,2,0,Porcel Sabica,US$308,8.3,Very Good,"4,372"
,2024-02-24,2024-02-27,2,0,YIT Casablanca,US$283,7.5,Good,"3,780"
,2024-02-24,2024-02-27,2,0,Hotel Granada Center,US$472,9.1,Wonderful,"8,214"
,2024-02-24,2024-02-27,2,0,Sercotel Palacio de los Gamboa,US$436,8.6,Excellent,"4,783"
,2024-02-24,2024-02-27,2,0,Hotel Tent Granada,US$387,8.4,Very Good,"4,615"
,2024-02-24,2024-02-27,2,0,Hotel Andalucía Center,US$371,8.8,Excellent,"7,104"
,2024-02-24,2024-02-27,2,0,Occidental Granada,US$409,8.7,Excellent,"3,058"
,2024-02-24,2024-02-27,2,0,NH Collection Victoria,US$484,8.7,Excellent,"1,292"
,2024-02-24,2024-02-27,2,0,Las Nieves,US$313,8.4,Very Good,"2,307"
,2024-02-24,2024-02-27,2,0,Hotel Boutique Las Almenas,US$373,8.4,Very Good,"1,814"
,2024-02-24,2024-02-27,2,0,Hotel Macià Cóndor,US$275,7.7,Good,"1,801"
,2024-02-24,2024-02-27,2,0,Hotel La Casa de Los Mosaicos,US$487,8.4,Very Good,"1,985"
,2024-02-24,2024-02-27,2,0,Boutique Hotel Luna Granada Centro,US$455,9.1,Wonderful,988
,2024-02-24,2024-02-27,2,0,Barceló Granada Congress,US$422,8.5,Very Good,"4,966"
,2024-02-24,2024-02-27,2,0,La Casa de la Trinidad,US$488,8.7,Excellent,"2,381"
