type,capacity,checkin,checkout,num_adults,num_children,name,price,score,avg_review,reviews_count
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos Puerta Elvira Suites 3000,US$219,"9.2
Scored 9.2",Wonderful,390
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,ISA Granada,US$319,"8.6
Scored 8.6",Excellent,"2,686"
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Urban Suites Granada,US$212,"8.2
Scored 8.2",Very Good,392
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos de Isabella,US$238,"8.5
Scored 8.5",Very Good,907
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,limehome Granada Calle Santa Ana,US$277,"8.8
Scored 8.8",Excellent,"1,829"
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,limehome Granada Calle Mirasol,US$305,"9.3
Scored 9.3",Wonderful,593
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Siloe Plaza,US$354,"7.8
Scored 7.8",Good,789
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamento Campo del Príncipe,US$210,"10
Scored 10",Exceptional,4
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,BiBo Suites Plaza Nueva,US$370,"9.2
Scored 9.2",Wonderful,"2,949"
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Be Suites Centro,US$218,"8.3
Scored 8.3",Very Good,983
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos Turísticos Centro,US$249,"8.7
Scored 8.7",Excellent,324
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Tina Home,US$355,"8.9
Scored 8.9",Excellent,544
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,SUITES CASA DE LAS COLUMNAS,US$299,"8.8
Scored 8.8",Excellent,606
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,GLORIA SUITES,US$310,"7.8
Scored 7.8",Good,478
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos Mirador Alhambra,US$261,"8.2
Scored 8.2",Very Good,291
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Be Free Granada,US$190,"8.2
Scored 8.2",Very Good,"3,538"
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,CENTER DELUXE II,US$167,"8.2
Scored 8.2",Very Good,127
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos Luna Suites Granada,US$347,"9.3
Scored 9.3",Wonderful,195
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Pepa Home,US$420,"8.8
Scored 8.8",Excellent,652
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos Correo Viejo de Granada,US$394,"8.5
Scored 8.5",Very Good,845
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos VITA CENTER,US$323,"9.2
Scored 9.2",Wonderful,377
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos Los Lobos,US$374,"8.1
Scored 8.1",Very Good,591
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,BiBo Suites Palacio de Portago,US$345,"9.5
Scored 9.5",Exceptional,112
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Kasa Kata,US$226,"9.5
Scored 9.5",Exceptional,134
Apartamentos,79.0,2024-05-07,2024-05-10,2,0,Apartamentos Granada Parque de Las Ciencias 3000,US$209,"8.8
Scored 8.8",Excellent,15
Hotel,95.0,2024-05-07,2024-05-10,2,0,Room Mate Leo,US$376,"8.8
Scored 8.8",Excellent,"4,431"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Vincci Albayzin,US$320,"8.5
Scored 8.5",Very Good,"5,634"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Hotel Saray,US$296,"8.4
Scored 8.4",Very Good,"10,003"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Áurea Catedral by Eurostars Hotel Company,US$557,"9.2
Scored 9.2",Wonderful,"5,764"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Hotel Macià Monasterio de los Basilios,US$254,"8.1
Scored 8.1",Very Good,"2,924"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Casa Palacio Pilar del Toro,US$180,"7.8
Scored 7.8",Good,"1,239"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Porcel Alixares,US$305,"8.4
Scored 8.4",Very Good,"9,633"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Porcel Navas,US$292,"8.7
Scored 8.7",Excellent,"2,226"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Casual Ilbira Granada,US$320,"8.8
Scored 8.8",Excellent,657
Hotel,95.0,2024-05-07,2024-05-10,2,0,Abadía Hotel,US$265,"8.5
Scored 8.5",Very Good,"4,393"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$627,"8.9
Scored 8.9",Excellent,"2,713"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Hotel Abades Recogidas,US$293,"8.1
Scored 8.1",Very Good,"2,153"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Hotel Casa Palacete Tablas,US$378,"9.2
Scored 9.2",Wonderful,154
Hotel,95.0,2024-05-07,2024-05-10,2,0,Sercotel Palacio de los Gamboa,US$407,"8.6
Scored 8.6",Excellent,"5,069"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Eurostars Gran Via,US$562,"8.6
Scored 8.6",Excellent,"2,184"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Hotel Casa 1800 Granada,US$456,"8.8
Scored 8.8",Excellent,"1,397"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Barceló Granada Congress,US$404,"8.5
Scored 8.5",Very Good,"5,017"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Hotel La Casa de Los Mosaicos,US$409,"8.4
Scored 8.4",Very Good,"2,154"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Bubaqia House - Suites Boutique,US$530,"9.8
Scored 9.8",Exceptional,27
Hotel,95.0,2024-05-07,2024-05-10,2,0,Hotel Comfort Dauro 2,US$304,"8.6
Scored 8.6",Excellent,"3,745"
Hotel,95.0,2024-05-07,2024-05-10,2,0,SUITES CASA DE LAS COLUMNAS,US$299,"8.8
Scored 8.8",Excellent,606
Hotel,95.0,2024-05-07,2024-05-10,2,0,Porcel Sabica,US$286,"8.3
Scored 8.3",Very Good,"4,500"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Senator Granada,US$273,"8.4
Scored 8.4",Very Good,"3,436"
Hotel,95.0,2024-05-07,2024-05-10,2,0,YIT Casablanca,US$223,"7.5
Scored 7.5",Good,"3,990"
Hotel,95.0,2024-05-07,2024-05-10,2,0,Ibis Granada,US$219,"8.3
Scored 8.3",Very Good,"4,487"
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Apartamentos Puerta Elvira Suites 3000,US$219,"9.2
Scored 9.2",Wonderful,390
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Be Free Granada,US$222,"8.2
Scored 8.2",Very Good,"3,538"
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,limehome Granada Calle Santa Ana,US$277,"8.8
Scored 8.8",Excellent,"1,829"
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Arabial Deluxe,US$219,"8.7
Scored 8.7",Excellent,144
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,numa I Vega Apartments,US$250,"8.3
Scored 8.3",Very Good,"1,954"
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,limehome Granada Calle Mirasol,US$305,"9.3
Scored 9.3",Wonderful,593
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Refugio junto a la Catedral - Centro Granada,US$212,"8.5
Scored 8.5",Very Good,11
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Apartamentos Mirador Alhambra,US$261,"8.2
Scored 8.2",Very Good,291
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Apartamentos Campo Del Príncipe,US$279,"8.8
Scored 8.8",Excellent,"1,759"
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,CENTER DELUXE II,US$199,"8.2
Scored 8.2",Very Good,127
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Genteel Home Campo del Príncipe,US$309,"8.7
Scored 8.7",Excellent,457
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,La Tinaja del Realejo,US$291,"9.1
Scored 9.1",Wonderful,489
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Esencias de la Alhambra,US$257,"9.0
Scored 9.0",Wonderful,30
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,ISA Granada,US$371,"8.6
Scored 8.6",Excellent,"2,686"
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Apartamentos Mª Luisa de Dios Nº7,US$249,"9.4
Scored 9.4",Wonderful,49
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Apartamento Recogidas,US$255,"9.2
Scored 9.2",Wonderful,46
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Apartamentos de Isabella,US$279,"8.5
Scored 8.5",Very Good,907
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,BiBo Suites Plaza Nueva,US$370,"9.2
Scored 9.2",Wonderful,"2,949"
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Be Suites Centro,US$262,"8.3
Scored 8.3",Very Good,983
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Alhambra experience apartment,US$178,"7.6
Scored 7.6",Good,45
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Tina Home,US$404,"8.9
Scored 8.9",Excellent,544
Apartamentos,83.0,2024-05-07,2024-05-10,2,2,Siloe Plaza,US$354,"7.8
Scored 7.8",Good,789
