type,capacity,check-in,check-out,num_adults,num_children,name,price,score,avg_review,reviews_count
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,GLORIA SUITES,US$196,"7.8
Scored 7.8",Good,482
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,limehome Granada Calle Santa Ana,US$235,"8.8
Scored 8.8",Excellent,"1,837"
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,QH Granada Centro,US$200,"8.0
Scored 8.0",Very Good,232
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Alh Patio Apartamentos,US$273,"9.0
Scored 9.0",Wonderful,434
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Realejo Granada Centro 3000,US$196,"8.1
Scored 8.1",Very Good,"1,060"
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,ISA Granada,US$334,"8.6
Scored 8.6",Excellent,"2,701"
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,QH Elvira,US$200,"8.1
Scored 8.1",Very Good,36
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Central Deluxe Apartments by Apolo Homes,US$431,"9.0
Scored 9.0",Wonderful,135
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Campo Del Príncipe,US$210,"8.8
Scored 8.8",Excellent,"1,776"
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Inside Paseo de los Tristes,US$316,"8.5
Scored 8.5",Very Good,481
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Inside Casa de la Alberca,US$369,"8.8
Scored 8.8",Excellent,107
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos de Isabella,US$279,"8.6
Scored 8.6",Excellent,921
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Correo Viejo de Granada,US$360,"8.5
Scored 8.5",Very Good,852
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Be Free Granada,US$201,"8.3
Scored 8.3",Very Good,"3,587"
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Reyes Católicos,US$243,"8.9
Scored 8.9",Excellent,"1,406"
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Los Lobos,US$364,"8.1
Scored 8.1",Very Good,592
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Inside Alhacaba,US$369,"8.7
Scored 8.7",Excellent,101
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Riad Puertas del Albaicín,US$201,"7.3
Scored 7.3",Good,435
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,PATIO de SOMBRA · Urban Suites,US$290,"8.8
Scored 8.8",Excellent,30
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,BiBo Suites Gran Vía,US$351,"9.0
Scored 9.0",Wonderful,"3,414"
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Moderno Apartamento en Centro de Granada,US$200,"7.6
Scored 7.6",Good,144
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Be Suites Centro,US$247,"8.3
Scored 8.3",Very Good,991
Apartamentos,81.0,2024-05-14,2024-05-17,2,0,Apartamentos Montesclaros,US$381,"8.9
Scored 8.9",Excellent,698
