type,capacity,check-in,check-out,num_adults,num_children,name,price,score,avg_review,reviews_count,Fecha
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,tuGuest Santa Paula III Apartment,US$444,"8.0
Scored 8.0",Very Good,42,23/05/2024
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,limehome Granada Calle Santa Ana,US$348,"8.8
Scored 8.8",Excellent,"1,840",
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,tuGuest Palacio de los Jerónimos Apartments,US$331,"10
Scored 10",Exceptional,2,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,tuGuest casa del mirador,US$354,"8.0
Scored 8.0",Very Good,42,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,tuGuest Hermosa Apartment,US$355,"8.9
Scored 8.9",Excellent,71,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Ferola Homes,US$339,"9.6
Scored 9.6",Exceptional,7,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,BiBo Suites Palacio de Portago,US$420,"9.5
Scored 9.5",Exceptional,143,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,ISA Granada,US$341,"8.6
Scored 8.6",Excellent,"2,716",
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Pepa Home,US$455,"8.8
Scored 8.8",Excellent,669,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Suite patio del arquitecto,US$354,"8.7
Scored 8.7",Excellent,6,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,HNN GRANADA,US$423,"9.7
Scored 9.7",Exceptional,495,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,AT SAN ISIDRO CENTRO,US$385,"9.5
Scored 9.5",Exceptional,85,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Central Deluxe Apartments by Apolo Homes,US$528,"9.0
Scored 9.0",Wonderful,137,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Reyes Albaicín,US$293,"7.4
Scored 7.4",Good,57,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Apartamentos Turísticos Mauror,US$476,"9.4
Scored 9.4",Wonderful,801,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Caseria de Comares 201,US$283,"9.0
Scored 9.0",Wonderful,33,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Charming Colón by SharingCo,US$313,"7.1
Scored 7.1",Good,15,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Be Free Granada,US$278,"8.2
Scored 8.2",Very Good,"3,624",
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Apartamentos Inside Alhacaba,US$471,"8.7
Scored 8.7",Excellent,103,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,tuGuest Pedro Antonio Apartment,US$390,"7.8
Scored 7.8",Good,5,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Golondrinas de la Alhambra,US$290,"8.1
Scored 8.1",Very Good,"1,988",
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Apartamento centro de Granada,US$390,"9.2
Scored 9.2",Wonderful,22,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Embrujo,US$658,"9.3
Scored 9.3",Wonderful,100,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Patio Zahorí Granada Centro,US$490,"9.2
Scored 9.2",Wonderful,96,
Apartamentos,93.0,2024-05-23,2024-05-26,2,0,Riad Puertas del Albaicín,US$277,"7.3
Scored 7.3",Good,435,
Hotel,96.0,2024-05-23,2024-05-26,2,0,Room Mate Leo,US$347,"8.8
Scored 8.8",Excellent,"4,430",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Meliá Granada,US$501,"8.4
Scored 8.4",Very Good,57,
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel América,US$469,"8.4
Scored 8.4",Very Good,504,
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Saray,US$272,"8.4
Scored 8.4",Very Good,"10,088",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Vincci Albayzin,US$340,"8.5
Scored 8.5",Very Good,"5,707",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Posada del Toro,US$306,"8.9
Scored 8.9",Excellent,"2,194",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Porcel Alixares,US$317,"8.4
Scored 8.4",Very Good,"9,799",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$486,"8.9
Scored 8.9",Excellent,"2,752",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Catalonia Granada,US$390,"9.0
Scored 9.0",Wonderful,"4,167",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Porcel Navas,US$376,"8.7
Scored 8.7",Excellent,"2,261",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Monasterio Granada - Adults Only,US$246,"6.9
Scored 6.9",Review score,"4,266",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Casual Ilbira Granada,US$384,"8.8
Scored 8.8",Excellent,739,
Hotel,96.0,2024-05-23,2024-05-26,2,0,Eurostars Puerta Real,US$468,"8.9
Scored 8.9",Excellent,"4,096",
Hotel,96.0,2024-05-23,2024-05-26,2,0,BiBo Suites San Agustín,US$416,"9.4
Scored 9.4",Wonderful,"1,035",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Gran Hotel Luna de Granada,US$439,"8.5
Scored 8.5",Very Good,"9,497",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Casa Palacete Tablas,US$477,"9.2
Scored 9.2",Wonderful,191,
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Santa Isabel La Real,US$585,"9.1
Scored 9.1",Wonderful,864,
Hotel,96.0,2024-05-23,2024-05-26,2,0,Áurea Catedral by Eurostars Hotel Company,US$582,"9.2
Scored 9.2",Wonderful,"5,759",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel La Casa de Los Mosaicos,US$432,"8.4
Scored 8.4",Very Good,"2,186",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Abades Nevada Palace,US$284,"7.9
Scored 7.9",Good,"4,961",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Boutique Puerta de las Granadas,US$434,"8.7
Scored 8.7",Excellent,"1,701",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Leonardo Hotel Granada,US$349,"8.2
Scored 8.2",Very Good,"1,545",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Plaza Nueva,US$389,"8.4
Scored 8.4",Very Good,"2,726",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Hotel Macià Cóndor,US$274,"7.7
Scored 7.7",Good,"1,984",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Porcel Sabica,US$331,"8.3
Scored 8.3",Very Good,"4,534",
Hotel,96.0,2024-05-23,2024-05-26,2,0,Ibis Granada,US$271,"8.3
Scored 8.3",Very Good,"4,511",
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Hi Granada Suite A,US$623,"5.9
Scored 5.9",Review score,25,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,VARELA CENTRO GRANADA center,US$489,"6.8
Scored 6.8",Review score,85,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Apartamentos Inside Paseo de los Tristes,US$366,"8.5
Scored 8.5",Very Good,485,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Central Deluxe Apartments by Apolo Homes,US$614,"9.0
Scored 9.0",Wonderful,137,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Pepa Home,US$493,"8.8
Scored 8.8",Excellent,669,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,tuGuest Palacio de los Jerónimos Apartments,US$346,"10
Scored 10",Exceptional,2,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,tuGuest Hermosa Apartment,US$374,"8.9
Scored 8.9",Excellent,71,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Apartamentos Inside Alhacaba,US$471,"8.7
Scored 8.7",Excellent,103,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,ISA Granada,US$639,"8.6
Scored 8.6",Excellent,"2,716",
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,limehome Granada Calle Santa Ana,US$348,"8.8
Scored 8.8",Excellent,"1,840",
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Apartamentos de Isabella,US$491,"8.6
Scored 8.6",Excellent,934,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,BiBo Suites Palacio de Portago,US$457,"9.5
Scored 9.5",Exceptional,143,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Ferola Homes,US$339,"9.6
Scored 9.6",Exceptional,7,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Embrujo,US$658,"9.3
Scored 9.3",Wonderful,100,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Granada Luxury Apartments by Apolo Homes,US$545,"9.0
Scored 9.0",Wonderful,518,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Apartamentos Correo Viejo de Granada,US$690,"8.5
Scored 8.5",Very Good,858,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Apartamentos Alhambra Granada 3000,US$300,"7.7
Scored 7.7",Good,"1,111",
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,BiBo Suites Plaza Nueva,US$491,"9.2
Scored 9.2",Wonderful,"2,956",
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,HNN GRANADA,US$467,"9.7
Scored 9.7",Exceptional,495,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Be Free Granada,US$310,"8.2
Scored 8.2",Very Good,"3,624",
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Palacio Cabrera - Lillo,US$442,"9.1
Scored 9.1",Wonderful,"2,514",
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Riad Puertas del Albaicín,US$277,"7.3
Scored 7.3",Good,435,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,Apartamentos Turísticos Centro,US$429,"8.7
Scored 8.7",Excellent,330,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,tuGuest Isabel la Catolica II Apartment,US$361,"7.4
Scored 7.4",Good,40,
Apartamentos,94.0,2024-05-23,2024-05-26,2,2,tuGuest Pedro Antonio Apartment,US$390,"7.8
Scored 7.8",Good,5,
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Casa Palacete Tablas,US$512,"9.2
Scored 9.2",Wonderful,191,
Hotel,97.0,2024-05-23,2024-05-26,2,2,Meliá Granada,"US$1,759","8.4
Scored 8.4",Very Good,57,
Hotel,97.0,2024-05-23,2024-05-26,2,2,BiBo Suites San Agustín,US$416,"9.4
Scored 9.4",Wonderful,"1,035",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Porcel Alixares,US$494,"8.4
Scored 8.4",Very Good,"9,799",
Hotel,97.0,2024-05-23,2024-05-26,2,2,La Corrala del Realejo,US$802,"9.4
Scored 9.4",Wonderful,591,
Hotel,97.0,2024-05-23,2024-05-26,2,2,Elvira Suites,US$463,"8.9
Scored 8.9",Excellent,782,
Hotel,97.0,2024-05-23,2024-05-26,2,2,Porcel Sabica,US$497,"8.3
Scored 8.3",Very Good,"4,534",
Hotel,97.0,2024-05-23,2024-05-26,2,2,U-Sense Granada Centro,US$515,"8.8
Scored 8.8",Excellent,"2,778",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Plaza Nueva,US$502,"8.4
Scored 8.4",Very Good,"2,726",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hostal Arriola,US$392,"8.4
Scored 8.4",Very Good,800,
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Maciá Granada Five Senses Rooms & Suites,US$660,"8.6
Scored 8.6",Excellent,"4,914",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Macià Cóndor,US$404,"7.7
Scored 7.7",Good,"1,984",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Macià Real De La Alhambra,US$493,"8.5
Scored 8.5",Very Good,"5,417",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Carlos V,US$414,"8.3
Scored 8.3",Very Good,"3,741",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Universal,US$482,"7.8
Scored 7.8",Good,"4,937",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Dauro Premier,US$579,"8.6
Scored 8.6",Excellent,"1,572",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Presidente,US$547,"7.6
Scored 7.6",Good,"1,594",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Vincci Albayzin,US$845,"8.5
Scored 8.5",Very Good,"5,707",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Eurostars Puerta Real,US$936,"8.9
Scored 8.9",Excellent,"4,096",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Bubaqia House - Suites Boutique,US$912,"9.5
Scored 9.5",Exceptional,31,
Hotel,97.0,2024-05-23,2024-05-26,2,2,Barceló Carmen Granada,"US$1,255","9.0
Scored 9.0",Wonderful,"1,629",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Molinos,US$573,"8.0
Scored 8.0",Very Good,"2,863",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hostal Viena Plaza Nueva,US$451,"7.3
Scored 7.3",Good,382,
Hotel,97.0,2024-05-23,2024-05-26,2,2,Hotel Saray,US$626,"8.4
Scored 8.4",Very Good,"10,088",
Hotel,97.0,2024-05-23,2024-05-26,2,2,Áurea Washington Irving by Eurostars Hotel Company,US$973,"8.9
Scored 8.9",Excellent,"2,752",
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Apartamentos Alhambra Granada 3000,US$300,"7.7
Scored 7.7",Good,"1,111",
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Zahira Suites,US$363,"6.9
Scored 6.9",Review score,258,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Be Free Granada,US$371,"8.2
Scored 8.2",Very Good,"3,624",
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,EnjoyGranada ELVIRA,US$432,"7.6
Scored 7.6",Good,255,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,BiBo Suites Plaza Nueva,US$530,"9.2
Scored 9.2",Wonderful,"2,956",
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Chezmoihomes Plaza Nueva Luxury,US$690,"8.6
Scored 8.6",Excellent,88,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Riad Puertas del Albaicín,US$448,"7.3
Scored 7.3",Good,435,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,tuGuest Station 2 apartment,US$475,"8.2
Scored 8.2",Very Good,80,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Carmen Vistas de la Alhambra,US$599,"7.7
Scored 7.7",Good,997,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,H&H Suite Palacio de Congresos,US$495,"8.2
Scored 8.2",Very Good,5,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,tuGuest Pedro Antonio Apartment,US$441,"7.8
Scored 7.8",Good,5,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,tuGuest Santa Paula III Apartment,US$444,"8.0
Scored 8.0",Very Good,42,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Suite patio del arquitecto,US$426,"8.7
Scored 8.7",Excellent,6,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,tuGuest Aben Humeya Apartment,US$414,"8.0
Scored 8.0",Very Good,4,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Local Granada Penthouse,US$503,"9.8
Scored 9.8",Exceptional,10,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,"Apartamento nuevo, 3 dormitorios con terraza",US$628,"9.9
Scored 9.9",Exceptional,25,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,El Generalife cerca centro con Piscina y Barbacoa y Sierra Nevada,US$495,"8.2
Scored 8.2",Very Good,10,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Bibrambla penthouse over Cathedral,US$576,"7.4
Scored 7.4",Good,30,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Casas del Albaicín,US$600,"8.9
Scored 8.9",Excellent,814,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,PRECIOSO Y ACOGEDOR APARTAMENTO EN PLENO CENTRO DE GRANADA,US$574,"8.4
Scored 8.4",Very Good,40,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,ISA Granada,US$639,"8.6
Scored 8.6",Excellent,"2,716",
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Apartamentos de Isabella,US$584,"8.6
Scored 8.6",Excellent,934,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Apartamento Blessed,US$264,"8.1
Scored 8.1",Very Good,15,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,Apartamento junto a Estación Ave · 3 dormitorios,US$520,"9.4
Scored 9.4",Wonderful,20,
Apartamentos,96.0,2024-05-23,2024-05-26,5,0,APARTAMENTO POETA ZORRILLA,US$595,"8.3
Scored 8.3",Very Good,68,
Hotel,97.0,2024-05-23,2024-05-26,5,0,Elvira Suites,US$670,"8.9
Scored 8.9",Excellent,782,
Hotel,97.0,2024-05-23,2024-05-26,5,0,Meliá Granada,"US$3,128","8.4
Scored 8.4",Very Good,57,
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Molinos,US$654,"8.0
Scored 8.0",Very Good,"2,863",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Saray,US$737,"8.4
Scored 8.4",Very Good,"10,088",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Porcel Alixares,US$774,"8.4
Scored 8.4",Very Good,"9,799",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Monasterio Granada - Adults Only,US$576,"6.9
Scored 6.9",Review score,"4,266",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Gran Hotel Luna de Granada,US$963,"8.5
Scored 8.5",Very Good,"9,497",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Vincci Albayzin,US$865,"8.5
Scored 8.5",Very Good,"5,707",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Macià Cóndor,US$616,"7.7
Scored 7.7",Good,"1,984",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Catalonia Granada,US$884,"9.0
Scored 9.0",Wonderful,"4,167",
Hotel,97.0,2024-05-23,2024-05-26,5,0,YIT Casablanca,US$694,"7.5
Scored 7.5",Good,"4,032",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Plaza Nueva,US$891,"8.4
Scored 8.4",Very Good,"2,726",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Eurostars Puerta Real,"US$1,168","8.9
Scored 8.9",Excellent,"4,096",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Los Girasoles,US$829,"7.4
Scored 7.4",Good,249,
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Andalucía Center,"US$1,061","8.8
Scored 8.8",Excellent,"7,447",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Áurea Washington Irving by Eurostars Hotel Company,"US$1,314","8.9
Scored 8.9",Excellent,"2,752",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Las Nieves,US$819,"8.4
Scored 8.4",Very Good,"2,476",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Rosa De oro,"US$1,018","8.3
Scored 8.3",Very Good,"1,006",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Presidente,US$906,"7.6
Scored 7.6",Good,"1,594",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Granada Center,"US$1,192","9.1
Scored 9.1",Wonderful,"9,279",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hostal Arriola,US$864,"8.4
Scored 8.4",Very Good,800,
Hotel,97.0,2024-05-23,2024-05-26,5,0,Áurea Catedral by Eurostars Hotel Company,"US$1,630","9.2
Scored 9.2",Wonderful,"5,759",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Universal,US$836,"7.8
Scored 7.8",Good,"4,937",
Hotel,97.0,2024-05-23,2024-05-26,5,0,Hotel Casa Palacete Tablas,US$989,"9.2
Scored 9.2",Wonderful,191,
Hotel,97.0,2024-05-23,2024-05-26,5,0,Bubaqia House - Suites Boutique,"US$1,533","9.5
Scored 9.5",Exceptional,31,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Zahira Suites,US$363,"6.9
Scored 6.9",Review score,258,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,tuGuest Station 2 apartment,US$475,"8.2
Scored 8.2",Very Good,80,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,El Generalife cerca centro con Piscina y Barbacoa y Sierra Nevada,US$495,"8.2
Scored 8.2",Very Good,10,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Bibrambla penthouse over Cathedral,US$514,"7.4
Scored 7.4",Good,30,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Riad Puertas del Albaicín,US$448,"7.3
Scored 7.3",Good,435,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,tuGuest Santa Paula III Apartment,US$481,"8.0
Scored 8.0",Very Good,42,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Carmen Vistas de la Alhambra,US$599,"7.7
Scored 7.7",Good,997,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,BiBo Suites Plaza Nueva,US$755,"9.2
Scored 9.2",Wonderful,"2,956",
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,PRECIOSO Y ACOGEDOR APARTAMENTO EN PLENO CENTRO DE GRANADA,US$574,"8.4
Scored 8.4",Very Good,40,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,tuGuest El Rincón de Felisa,US$513,"9.0
Scored 9.0",Wonderful,24,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,El Refugio De Noa,US$471,-,-,-,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Libelle,"US$2,072","9.9
Scored 9.9",Exceptional,7,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,tuGuest Manuel de Falla Apartment,US$614,"8.7
Scored 8.7",Excellent,27,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Apartamento centro de Granada 2,US$731,"9.2
Scored 9.2",Wonderful,19,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,New Arab Baths Apartament,US$698,"7.4
Scored 7.4",Good,106,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,"Conjunto Altos de Vista Nevada,nº11,portal 7,1ºA.",US$785,"9.0
Scored 9.0",Wonderful,35,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Alojamientos Rurales Las Eras,US$364,"8.8
Scored 8.8",Excellent,56,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,tuGuest Alhambra house,"US$1,344","8.7
Scored 8.7",Excellent,12,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,Apartamentos Inside Paseo de los Tristes,US$733,"8.5
Scored 8.5",Very Good,485,
Apartamentos,97.0,2024-05-23,2024-05-26,4,3,ISA Granada,US$980,"8.6
Scored 8.6",Excellent,"2,716",
